"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
400,"i952","Revenue from all telecommunication services","i75$","per employee",308,"PSE","State of Palestine","58196.3",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",308,"PSE","State of Palestine","12.4151",2018,"","","Refers to annual investment divided by telecommunication revenues"
253,"i51","Full-time equivalent telecommunication employees ",,"count",192,"PRY","Paraguay","6150",2018,"","Comisión Nacional de Telecomunicaciones - CONATEL","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",192,"PRY","Paraguay","9.89973e+008",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
400,"i952","Revenue from all telecommunication services","i75$","per employee",192,"PRY","Paraguay","160971",2018,"","","Refers to revenues from all telecommunication services divided by employees"
349,"i75$","Revenue from all telecommunication services",,"USD",283,"MKD","North Macedonia","3.3196e+008",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",283,"MKD","North Macedonia","4.93059e+007",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",283,"MKD","North Macedonia","14.853",2018,"","","Refers to annual investment divided by telecommunication revenues"
253,"i51","Full-time equivalent telecommunication employees ",,"count",135,"LCA","Saint Lucia","221",2018,"","National Telecommunications Regulatory Commission","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",135,"LCA","Saint Lucia","7.01714e+007",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
