"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_mbb/desi_mbbtu/pc_desi_c_mbb/IE/2021","2021","IE","desi_c_mbb","desi_mbbtu","pc_desi_c_mbb",0.148229,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_mbb/desi_mbbtu/pc_desi_c_mbb/IT/2021","2021","IT","desi_c_mbb","desi_mbbtu","pc_desi_c_mbb",0.118825,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_mbb/desi_mbbtu/pc_desi_c_mbb/SI/2021","2021","SI","desi_c_mbb","desi_mbbtu","pc_desi_c_mbb",0.133143,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbtc/desi_ufbbtu/pc_desi_c_fbbtc/AT/2021","2021","AT","desi_c_fbbtc","desi_ufbbtu","pc_desi_c_fbbtc",0.0390997,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbtc/desi_ufbbtu/pc_desi_c_fbbtc/DE/2020","2020","DE","desi_c_fbbtc","desi_ufbbtu","pc_desi_c_fbbtc",0.068614,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbtc/desi_ufbbtu/pc_desi_c_fbbtc/ES/2020","2020","ES","desi_c_fbbtc","desi_ufbbtu","pc_desi_c_fbbtc",0.176247,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_vhcnc/pc_desi_c_fbbc/BG/2020","2020","BG","desi_c_fbbc","desi_vhcnc","pc_desi_c_fbbc",0.326224,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_vhcnc/pc_desi_c_fbbc/HR/2021","2021","HR","desi_c_fbbc","desi_vhcnc","pc_desi_c_fbbc",0.232558,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_vhcnc/pc_desi_c_fbbc/HU/2021","2021","HU","desi_c_fbbc","desi_vhcnc","pc_desi_c_fbbc",0.242875,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_vhcnc/pc_desi_c_fbbc/IT/2020","2020","IT","desi_c_fbbc","desi_vhcnc","pc_desi_c_fbbc",0.149836,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_c_fbbc/desi_vhcnc/pc_desi_c_fbbc/LT/2020","2020","LT","desi_c_fbbc","desi_vhcnc","pc_desi_c_fbbc",0.305081,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_5g/5g_pb/pc_spectrum_assigned/HR/2021","2021","HR","desi_5g","5g_pb","pc_spectrum_assigned",1,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_5g/5g_pb/pc_spectrum_assigned/HU/2021","2021","HU","desi_5g","5g_pb","pc_spectrum_assigned",0.602778,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_5g/5g_pb/pc_spectrum_assigned/IT/2021","2021","IT","desi_5g","5g_pb","pc_spectrum_assigned",0.6,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_dps_prefform/all_egov_le/egov_score/CY/2021","2021","CY","desi_dps_prefform","all_egov_le","egov_score",,,
