Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Denmark,DNK,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.52963019,..,..,99.6690861429333
Djibouti,DJI,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,89.94960577,..,..,..,90.96322874,..,..,92.3591645981264
Ecuador,ECU,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,99.48462955,..,..,..,97.50621173,..,..,98.223110052501
"Egypt, Arab Rep.",EGY,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,93.6728701,..,..,..,97.3153634,..,..,98.7781785562663
El Salvador,SLV,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.97137917577747
El Salvador,SLV,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,96.28712513,..,..,..,96.95793572,..,..,98.3425729671305
Equatorial Guinea,GNQ,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,98.56508504,..,..,..,97.9578064,..,..,..
Eswatini,SWZ,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
