"","Indicator","Value","entity"
"354","I608_critical_thinking",2.1,"Angola"
"355","I609_pupil_teacher_ratio",50,"Angola"
"356","P7_product_market",NA,"Angola"
"357","Sub14_Domestic_Competition",NA,"Angola"
"358","I701_distortive_taxes",2.9,"Angola"
"359","I702_market_dominance",2.2,"Angola"
"360","I703_competition_services",3.3,"Angola"
"361","Sub15_Trade_Openess",NA,"Angola"
"362","I704_non_tariff_barriers",3.8,"Angola"
"363","I705_trade_tariffs",6.83,"Angola"
"364","I706_tariffs_complexity",5,"Angola"
"365","I707_border_clearance",1.6,"Angola"
"366","P8_labour_market",NA,"Angola"
"367","Sub16_Flexibility",NA,"Angola"
"368","I801_redundancy_costs",17.9,"Angola"
"369","I802_hiring_firing_practices",3.7,"Angola"
"370","I803_labour_employer_relations",3.7,"Angola"
"371","I804_wage_flexibility",5.2,"Angola"
"372","I805_labour_market_policies",1.8,"Angola"
"373","I806_workers_rights",71,"Angola"
"374","I807_foreign_labour_hiring",3.8,"Angola"
"375","I808_internal_labour_mobility",3.3,"Angola"
"376","Sub17_Meritocracy",NA,"Angola"
"377","I809_reliance_on_management",2.6,"Angola"
"378","I810_pay_productivity",2.5,"Angola"
"379","I811_gender_pay_gap",0.4,"Angola"
"380","I812_labour_tax",9,"Angola"
"381","P9_financial_system",NA,"Angola"
"382","Sub18_Depth",NA,"Angola"
"383","I901_credit_to_private_sector",20.1,"Angola"
"384","I902_financing_SME",2.3,"Angola"
"385","I903_venture_capital",1.7,"Angola"
"386","I904_market_capitalization",0,"Angola"
"387","I905_insurance_premium",NA,"Angola"
"388","Sub19_Stability",NA,"Angola"
"389","I906_banks_soundness",2.7,"Angola"
"390","I907_non_performing_loans",28.8,"Angola"
"391","I908_credit_gap",-7.2,"Angola"
"392","I909_regulatory_capital",18,"Angola"
"393","P10_market_size",NA,"Angola"
"394","I1001_GDP_PPP",177,"Angola"
"395","I1002_imports",23.5,"Angola"
"396","P11_dynamism",NA,"Angola"
"397","Sub20_Administrative_Requirements",NA,"Angola"
"398","I1101_starting_business_cost",13.9,"Angola"
"399","I1102_starting_business_time",36,"Angola"
"400","I1103_insolvency_recovery_rate",0,"Angola"
"401","I1104_insolvency_regulations",0,"Angola"
"402","Sub21_Entrepreneurial_Culture",NA,"Angola"
"403","I1105_risk_attitudes",3.3,"Angola"
"404","I1106_delegating_authority",3.1,"Angola"
"405","I1107_innovating_companies",3.1,"Angola"
"406","I1108_disruptive_ideas",2.6,"Angola"
"407","P12_innovation",NA,"Angola"
"408","Sub22_Diversity",NA,"Angola"
"409","I1201_workforce_diversity",4.2,"Angola"
"410","I1202_cluster_development",2.5,"Angola"
"411","I1203_international_inventions",0,"Angola"
"412","I1204_stakeholder_collaboration",2.4,"Angola"
"413","Sub23_Research_Development",NA,"Angola"
"414","I1205_scientific_publications",42,"Angola"
"415","I1206_patents",0,"Angola"
"416","I1207_RnD_expenditures",0.1,"Angola"
"417","I1208_research_institutions",0,"Angola"
"418","Sub24_Commercialization",NA,"Angola"
