indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F500600700,ARM,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ARM,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,ATG,2009,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ATG,2009,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ATG,2010,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ATG,2010,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ATG,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ATG,2011,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,ATG,2012,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,ATG,2012,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,AUS,2000,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2000,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2002,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2002,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2003,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2003,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2005,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2005,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2006,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2006,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2007,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2007,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2008,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2008,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2009,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2009,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2011,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2013,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2013,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2014,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2014,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2015,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2015,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2017,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2017,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2018,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2018,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2019,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2019,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2020,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2020,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2021,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2021,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2022,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2022,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUS,2023,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUS,2023,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2007,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2007,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2008,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2008,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2009,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2009,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2010,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2010,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2011,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2012,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2012,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2013,Data Status,Data reporting,NA
